T_Lymphocyte_Blood | H3K36me3 | ID:8169
T_Lymphocyte_Blood | H3K27ac | ID:36459
T_Lymphocyte_Blood | H3K27ac | ID:8263
Monocytes-CD14+_RO01746 | H3K4me1 | Roadmap
CD8_Memory_Primary_Cells | H3K9me3 | Roadmap
T_Lymphocyte_Blood | H3K36me3 | ID:8240
Blast_Cells_Blood | H3K9me2 | ID:75076
Monocyte_Blood | H3K4me3 | ID:89055
GM12878_B_Lymphocyte_Blood | H3K79me2 | ID:45208
T_Lymphocyte_Blood | H3K36me3 | ID:38138
DND-41_T_Lymphocyte_Blood | H3K79me2 | ID:45194
T_Lymphocyte | H3K4me1 | ID:8209
SEM_B_Lymphocyte | AFF1 | ID:73712
Akata_B_Lymphocyte | ZTA | ID:52241
T_Lymphocyte_Blood | H3K27ac | ID:8136
Monocyte_Blood | H3K4me3 | ID:72221
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74134
Fetal_Thymus | DNase | Roadmap
Blast_Cells_Blood | H3K9me2 | ID:75061
Monocytes-CD14+_RO01746 | DNase | Roadmap | 1
T_Lymphocyte_Blood | DNase | ID:40526
T_Lymphocyte_Blood | H3K27ac | ID:58701
T_Lymphocyte_Blood | DNase | ID:40395
Raji_B_Lymphocyte_Blood | POLR2A | ID:70957
Raji_B_Lymphocyte_Blood | POLR2A | ID:70940
Granulocyte_Blood | H3K9me2 | ID:75066
T_Lymphocyte_Blood | H3K4me1 | ID:8161
Monocyte_Blood | H4K20me1 | ID:45439
T_Lymphocyte_Blood | H3K27ac | ID:44102
Monocyte_Blood | H3K27ac | ID:41292
Raji_B_Lymphocyte_Blood | POLR2A | ID:70963
Blast_Cells_Blood | H3K9me2 | ID:75065
GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74662
Monocyte_Blood | H3K27ac | ID:36159
T_Lymphocyte_Blood | H3K4me3 | ID:58749
T_Lymphocyte_Blood | H3K27ac | ID:38114
T_Lymphocyte_Blood | H3K27me3 | ID:49186
CD8_Naive_Primary_Cells | H3K36me3 | Roadmap
Monocyte_Blood | H2Bub | ID:89049
T_Lymphocyte_Blood | H3K4me1 | ID:36466
T_Lymphocyte_Blood | H3K4me1 | ID:44039
T_Lymphocyte_Blood | H3K9me3 | ID:36147
