SEM_Pre-B_Lymphocyte | MLLT1 | ID:59168
B_cell_precursor | H3K27ac | ID:66825
DND-41_T_Lymphocyte_Blood | H2AZ | ID:45196
T_Lymphocyte_Blood | H3K27ac | ID:8136
T_Lymphocyte | H3K27ac | ID:57160
T_Lymphocyte_Blood | H3K27ac | ID:8239
T_Lymphocyte_Blood | H3K4me2 | ID:47985
TF-1_Erythroblast_Bone_Marrow | RUNX1 | ID:58876
Raji_B_Lymphocyte_Blood | E2F1 | ID:70962
T_Lymphocyte | ATAC-seq | ID:65979
GM12878_B_Lymphocyte_Blood | H3K4me1 | ID:42288
B_Lymphocyte_Blood | POLR2A | ID:33439
T_Lymphocyte_Blood | H3K27ac | ID:44044
T_Lymphocyte_Blood | H3K27ac | ID:58690
B_Lymphocyte | H3K27ac | ID:55551
Monocyte_Blood | H2Bub | ID:89048
B_Lymphocyte | H3K27ac | ID:55582
Jurkat_T_Lymphocyte_Blood | H3K27ac | ID:50572
OCI-Ly3_B_Lymphocyte_Bone_Marrow | IRF4 | ID:48623
T_Lymphocyte_Blood | H3K27ac | ID:44111
Monocyte | ATAC-seq | ID:66112
GM12878_B_Lymphocyte_Blood | REST | ID:48301
T_Lymphocyte_Blood | H3K4me2 | ID:47964
iPS-20b_Cell_Line | H3K9me3 | Roadmap
T_Lymphocyte_Blood | H3K4me2 | ID:47912
Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27me3 | ID:57615
Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27ac | ID:57573
T_Lymphocyte_Blood | H3K4me2 | ID:47932
B_cell_precursor | H3K27ac | ID:66822
OCI-Ly3_B_Lymphocyte_Bone_Marrow | STAT3 | ID:42214
OCI-Ly3_B_Lymphocyte_Bone_Marrow | SPI1 | ID:48624
T_Lymphocyte_Blood | H3K4me2 | ID:47956
Jurkat_T_Lymphocyte_Blood | TET2 | ID:81543
GM12878_B_Lymphocyte_Blood | STAT1 | ID:45643
T_Lymphocyte | H3K4me3 | ID:8199
T_Lymphocyte_Blood | H3K4me2 | ID:47970
KARPAS-422_B_Lymphocyte | H3K27me3 | ID:40303
MM1.S_B_Lymphocyte_Blood | BRD4 | ID:39014
T_Lymphocyte_Blood | H3K27ac | ID:8298
B_Lymphocyte | SPI1 | ID:55577
Monocyte_Blood | H3K27me3 | ID:71700
Neutrophile | ATAC-seq | ID:66140
KOPT-K1_T_Lymphocyte_Blood | H3K4me1 | ID:43746
U-2932_B_Lymphocyte | PRDM11 | ID:52171
SU-DHL6_B_Lymphocyte_Lymph_Node | H3K27ac | ID:43116
T_Lymphocyte | H3K4me3 | ID:69080
T_Lymphocyte_Blood | H3K4me3 | ID:33892
MM1.S_B_Lymphocyte_Blood | BRD4 | ID:33932
MM1.S_B_Lymphocyte_Blood | BRD4 | ID:39047
Fetal_Thymus | DNase | ID:40728
Th17 | ATAC-seq | ID:80750
T_Lymphocyte | T | ID:55903
B_Lymphocyte_Tonsil | H3K27ac | ID:66654
T_Lymphocyte | H3K4me3 | ID:69043
CA46_B_Lymphocyte | MYC | ID:5966
Dendritic_Cell | H3K4me3 | ID:53568
T_Lymphocyte_Blood | H3K4me3 | ID:3820
LOUCY_T_Lymphocyte_Blood | H3F3A | ID:63148
CD8_Memory_Primary_Cells | H3K9me3 | Roadmap
MM1.S_B_Lymphocyte_Blood | HDAC2 | ID:70760
T_Lymphocyte | ATAC-seq | ID:65963
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:36626
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:42289
Monocyte_Blood | H3K27me3 | ID:72292
CD4+_CD25_CD45RA+_Naive_Primary_Cells | H3K9me3 | Roadmap
B_Lymphocyte_Blood | H3K27ac | ID:51724
GM12878_B_Lymphocyte_Blood | ATF3 | ID:46133
RS4_B_Lymphocyte | H3K4me3 | ID:34963
GM12878_B_Lymphocyte_Blood | REST | ID:48302
Pfeiffer_B_Lymphocyte_Lymph_Node | H3 | ID:57549
T_Lymphocyte_Blood | H3K27ac | ID:58699
B_Lymphocyte | BCOR | ID:35087
T_Lymphocyte_Blood | H3K27ac | ID:58672
T_Lymphocyte | H3K4me3 | ID:8206
T_Lymphocyte_Blood | H3K27ac | ID:58665
P493-6_B_cell_lymphoma | MYC | ID:47551
T_Lymphocyte_Blood | H3K9me3 | ID:8180
T_Lymphocyte | H3K4me2 | ID:68997
OCI-Ly3_B_Lymphocyte_Bone_Marrow | IRF4 | ID:48636
GM12878_B_Lymphocyte_Blood | TP73 | ID:74649
GM12878_B_Lymphocyte_Blood | USF1 | ID:46124
GM06990_B_Lymphocyte_Blood | E2F4 | ID:542
T_Lymphocyte | H3K4me2 | ID:68999
GM12878_B_Lymphocyte_Blood | REST | ID:48306
Monocyte_Cord_blood | H3K27me3 | ID:74869
T_Lymphocyte_Blood | H3K27ac | ID:58697
T_Lymphocyte | ATAC-seq | ID:59699
GM12878_B_Lymphocyte_Blood | ZEB1 | ID:46139
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | NCOR1 | ID:35091
Neural_crest_cell_Cranial | H3K4me3 | ID:35622
T.T_T_Lymphocyte_Blood | ATAC-seq | ID:80967
T_Lymphocyte | H3K4me3 | ID:69012
Thymus | H3K27me3 | ID:42104
Monocyte | ATAC-seq | ID:66117
B_Lymphocyte_Blood | ATAC-seq | ID:61830
RS4_B_Lymphocyte | SPI1 | ID:56943
T_Lymphocyte_Blood | H3K4me2 | ID:47973
B_Lymphocyte_Tonsil | BCL6 | ID:58302
Raji_B_Lymphocyte_Blood | H3K4me3 | ID:70950
T_Lymphocyte | ATAC-seq | ID:65990
MM1.S_B_Lymphocyte_Blood | HDAC4 | ID:70762
T_Lymphocyte_Blood | H3K4me2 | ID:47940
MutuI_B_Lymphocyte | EBF1 | ID:59344
Monocyte | H3K9ac | ID:40051
MLL-AF9_Blast_Cells_Bone_Marrow | H3K4me3 | ID:82462
T_Lymphocyte_Blood | H3K4me1 | ID:8146
T_Lymphocyte_Blood | H3K27ac | ID:44102
CD4+_CD25_CD45RO+_Memory_Primary_Cells | H3K4me3 | Roadmap
T_Lymphocyte_Blood | H3K4me3 | ID:6696
T_Lymphocyte_Blood | H3K4me2 | ID:48024
ACH2_HIV-1_latency_T_cell | H3K4me3 | ID:48990
T_Lymphocyte | ATAC-seq | ID:59720
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49516
GM12878_B_Lymphocyte_Blood | MAZ | ID:45661
T_Lymphocyte | H3K4me3 | ID:69018
GM12878_B_Lymphocyte_Blood | STAG1 | ID:42294
Toledo_B_Lymphocyte_Blood | H3 | ID:57553
DND-41_T_Lymphocyte_Blood | H3K79me2 | ID:45194
GM12878_B_Lymphocyte_Blood | MYC | ID:666
B_Lymphocyte_Blood | ATAC-seq | ID:61825
B_Lymphocyte | H3K27ac | ID:55573
GM12878_B_Lymphocyte_Blood | YBX1 | ID:62978
GM12878_B_Lymphocyte_Blood | REST | ID:37311
Neutrophile | ATAC-seq | ID:65248
T_Lymphocyte_Blood | H3K4me3 | ID:8139
T_Lymphocyte_Blood | ATAC-seq | ID:80688
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49499
Neutrophile | ATAC-seq | ID:66139
T_Lymphocyte_Blood | H3K4me2 | ID:47941
GM12878_B_Lymphocyte_Blood | H3K36me3 | ID:45207
MM1.S_B_Lymphocyte_Blood | MYC | ID:37169
T_Lymphocyte_Blood | H3K4me2 | ID:47993
Monocyte | ATAC-seq | ID:66115
Jurkat_T_Lymphocyte_Blood | KDM3A | ID:49953
B_Lymphocyte_Spleen | H3K9me3 | ID:38130
GM12878_B_Lymphocyte_Blood | ZBTB33 | ID:48317
Monocyte_Blood | H3K27ac | ID:81422
OCI-Ly10_B_Lymphocyte_Bone_Marrow | SPI1 | ID:48629
Monocyte_Blood | H2Bub | ID:89035
T_Lymphocyte_Blood | H3K4me2 | ID:47967
GM12878_B_Lymphocyte_Blood | STAT2 | ID:74678
B_Lymphocyte_Blood | ATAC-seq | ID:61827
GM12878_B_Lymphocyte_Blood | RFX5 | ID:45649
Neural_crest_cell_Cranial | H3K27ac | ID:56803
T_Lymphocyte_Blood | H3K4me2 | ID:48029
T_Lymphocyte | ATAC-seq | ID:65984
T_Lymphocyte | H3K27ac | ID:8252
B_Lymphocyte | H3K27ac | ID:55580
DND-41_T_Lymphocyte_Blood | H3K36me3 | ID:43766
T_Lymphocyte | ATAC-seq | ID:65951
T_Lymphocyte_Blood | H3K4me2 | ID:47962
B_Lymphocyte | H3K27ac | ID:55560
T_Lymphocyte_Blood | H3K27me3 | ID:33885
T_Lymphocyte_Cord_blood | DNase | ID:3105
Monocyte_Blood | ATAC-seq | ID:80545
GM12878_B_Lymphocyte_Blood | H3K4me1 | ID:42286
Th1 | H3K4me3 | ID:69887
T_Lymphocyte | H3K4me3 | ID:68996
GM12878_B_Lymphocyte_Blood | REST | ID:48299
T_Lymphocyte_Blood | H3K4me2 | ID:47966
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:61822
Toledo_B_Lymphocyte_Blood | H3 | ID:57552
GM12878_B_Lymphocyte_Blood | WRNIP1 | ID:45630
GM12878_B_Lymphocyte_Blood | ZNF143 | ID:45629
T_Lymphocyte_Blood | H3K4me2 | ID:47958
T_Lymphocyte_Blood | ATAC-seq | ID:81032
GM12878_B_Lymphocyte_Blood | H2BK20ac | ID:67994
GM12878_B_Lymphocyte_Blood | SMC3 | ID:45640
T_Lymphocyte_Blood | H3K27ac | ID:58680
Monocyte_Blood | H3K9me3 | ID:45532
GM12878_B_Lymphocyte_Blood | REST | ID:48304
Jurkat_T_Lymphocyte_Blood | RUNX1 | ID:85218
GM12878_B_Lymphocyte_Blood | YBX1 | ID:62977
P493-6_B_cell_lymphoma | POLR2A | ID:33163
Monocytes-CD14+_RO01746 | H4K20me1 | Roadmap
T_Lymphocyte | H3K4me2 | ID:69019
B_Lymphocyte_Tonsil | KMT2D | ID:56481
GM12878_B_Lymphocyte_Blood | REST | ID:48296
T_Lymphocyte | H3K4me2 | ID:69063
T_Lymphocyte_Blood | H3K4me2 | ID:47969
Fetal_Thymus | DNase | Roadmap
T_Lymphocyte_Blood | H3K4me2 | ID:47939
T_Lymphocyte_Blood | H3K4me2 | ID:47944
T_Lymphocyte_Blood | H3K27ac | ID:58657
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:59678
Pfeiffer_B_Lymphocyte_Lymph_Node | H3 | ID:57547
GM12878_B_Lymphocyte_Blood | POLR2A | ID:45619
B_Lymphocyte_Tonsil | H3ac | ID:51690
GM12878_B_Lymphocyte_Blood | FAIRE | ID:33607
B_Lymphocyte_Blood | BRD4 | ID:40056
T_Lymphocyte_Blood | ATAC-seq | ID:79577
THP-1_Leukemia_Cell | GLI2 | ID:87939
DND-41_T_Lymphocyte_Blood | H3K4me3 | ID:43761
GM12878_B_Lymphocyte_Blood | ELF1 | ID:46127
OCI-Ly7_B_cell_lymphoma_Blood | DNase | ID:62447
B_Lymphocyte_Lymph_Node | H3ac | ID:51677
Neural_crest_cell_Cranial | H3K27ac | ID:56807
GM12878_B_Lymphocyte_Blood | RAD21 | ID:45614
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42173
T_Lymphocyte_Blood | H3K27ac | ID:58695
Neural_crest_cell_Cranial | H3K27ac | ID:56801
GM12878_B_Lymphocyte_Blood | FOS | ID:45606
GM12878_B_Lymphocyte_Blood | EP300 | ID:48311
Resting_Treg | H3K27ac | ID:57159
T_Lymphocyte_Blood | H3K27ac | ID:58678
T_Lymphocyte | ATAC-seq | ID:66017
Thymocyte_Thymus | GATA3 | ID:68161
CD4_Memory_Primary_Cells | H3K36me3 | Roadmap
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49512
Pre-B_Lymphocyte | BCL6 | ID:51245
Monocyte_Blood | H3K27me3 | ID:74855
MutuI_B_Lymphocyte | H3K27me3 | ID:59352
T_Lymphocyte_Blood | H3K4me3 | ID:33881
WSU-DLCL2_B_Lymphocyte_Lymph_Node | H3K27me3 | ID:40317
B_Lymphocyte_Blood | MED1 | ID:40233
Dendritic_Cell_Cord_blood | H3K27me3 | ID:74868
T_Lymphocyte_Blood | H3K4me2 | ID:47922
A3.01_T_Lymphocyte_Blood | H3K4me3 | ID:48989
Blast_Cells_Blood | H3K4me2 | ID:75047
iPS-15b_Cell_Line | H3K9me3 | Roadmap
Raji_B_Lymphocyte_Blood | CIITA | ID:52784
MM1.S_B_Lymphocyte_Blood | CDK9 | ID:33125
B_Lymphocyte_Lymph_Node | H3ac | ID:51688
T_Lymphocyte | ATAC-seq | ID:59733
Monocyte_Blood | H3K27me3 | ID:72236
CD4+_CD25_Th_Primary_Cells | H3K27ac | Roadmap
T_Lymphocyte_Blood | ATAC-seq | ID:81028
RS4_B_Lymphocyte | H3K27ac | ID:56937
TIVE-LTC_T_Lymphocyte_Blood | LANA | ID:47738
T_Lymphocyte_Blood | H3K27ac | ID:8291
T_Lymphocyte | ATAC-seq | ID:59700
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:61819
T_Lymphocyte_Blood | H3K27ac | ID:44104
CAL-1_Plasmacytoid_dendritic_cell | POLR2A | ID:72350
GM12864_B_Lymphocyte_Blood | DNase | ID:44918
T_Lymphocyte_Blood | H3K4me2 | ID:47937
Monocyte_Blood | H3K27me3 | ID:72257
CD8_Naive_Primary_Cells | H3K36me3 | Roadmap
THP-1_AML_cell | MLLT3 | ID:73462
MD-901_B_Lymphocyte | H3K27ac | ID:66263
GM12878_B_Lymphocyte_Blood | EBF1 | ID:45656
Jurkat_T_Lymphocyte_Blood | REST | ID:47863
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:59676
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:42290
T_Lymphocyte_Blood | H3K4me2 | ID:47953
MM1.S_B_Lymphocyte_Blood | BRD2 | ID:43047
Jurkat_E6-1_T_Lymphocyte_Blood | H3K4me3 | ID:1941
Pre-B_Lymphocyte | PBX1 | ID:51248
OCI-Ly3_B_Lymphocyte_Bone_Marrow | SPIB | ID:48642
Monocyte_Blood | H3K27me3 | ID:48119
B_Lymphocyte | FOXP1 | ID:59447
Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27ac | ID:55578
Monocyte_Blood | H3K9ac | ID:3999
Jurkat_T_Lymphocyte_Blood | H3K4me3 | ID:45378
Namalwa_B_Lymphocyte | NRF1 | ID:53105
Monocyte | ATAC-seq | ID:66118
Monocyte | ATAC-seq | ID:66102
SEM_B_Lymphocyte | MED1 | ID:73698
T_Lymphocyte | ATAC-seq | ID:65985
Neutrophil_cell | H3K4me1 | ID:53790
GM12878_B_Lymphocyte_Blood | ZNF143 | ID:64895
Monocyte_Blood | DNase | ID:49077
MM1.S_B_Lymphocyte_Blood | CTCF | ID:33934
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5010
LOUCY_T_Lymphocyte_Blood | H3F3A | ID:63149
Monocyte_Blood | H3K27ac | ID:88486
GM12878_B_Lymphocyte_Blood | ATAC-seq | ID:61821
Monocyte_Blood | H3K27ac | ID:66420
Natural_Killer_Cell_Blood | H3K27ac | ID:44049
Monocyte_Blood | H3K4me3 | ID:69177
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K36me3 | Roadmap
RS4_B_Lymphocyte | SPI1 | ID:56953
T_Lymphocyte_Blood | H3K27ac | ID:58676
Jurkat_T_Lymphocyte_Blood | CDK7 | ID:49494
Dendritic_Cell | H3K4me3 | ID:53575
T_Lymphocyte | H3K4me2 | ID:69060
T_Lymphocyte_Blood | H3K4me3 | ID:8230
Monocyte_Blood | H3K4me3 | ID:85246
Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27ac | ID:57574
GM12878_B_Lymphocyte_Blood | NRF1 | ID:45624
iPS-20b_Cell_Line | H3K4me3 | Roadmap
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42171
Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27ac | ID:57591
BCBL1_B_cell_lymphoma | POLR2A | ID:47726
Toledo_B_Lymphocyte_Blood | H3K27ac | ID:55586
Jurkat_T_Lymphocyte_Blood | H3K79me2 | ID:49501
T_Lymphocyte_Blood | H3K4me2 | ID:47957
T_Lymphocyte_Blood | H3K27ac | ID:6695
T_Lymphocyte_Blood | STAT5B | ID:53631
T_Lymphocyte | ATAC-seq | ID:65964
RPMI-8402_T_cell_leukemia_Blood | GATA3 | ID:9195
Monocyte_Blood | H2Bub | ID:89034
T_Lymphocyte_Blood | H3K27ac | ID:58654
GM12878_B_Lymphocyte_Blood | SREBF1 | ID:45620
T_Lymphocyte_Blood | H3K27ac | ID:58667
T_Lymphocyte_Blood | H3K27ac | ID:36417
Neural_crest_cell_Cranial | ATAC-seq | ID:61495
GM12878_B_Lymphocyte_Blood | POLR2A | ID:5009
Raji_B_Lymphocyte_Blood | H3K4me1 | ID:70960
B_Lymphocyte_Blood | ATAC-seq | ID:61826
T_Lymphocyte | H3K4me3 | ID:69004
GM12865_B_Lymphocyte_Blood | DNase | ID:44920
Monocyte_Blood | DNase | ID:49078
T_Lymphocyte | H3K4me2 | ID:69013
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74136
Monocyte_Blood | H3K4me3 | ID:69180
T_Lymphocyte_Blood | H3K27ac | ID:8210
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:45210
Monocyte_Blood | H3K4me3 | ID:85247
Th17 | ATAC-seq | ID:79742
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:61953
T_Lymphocyte | ATAC-seq | ID:65942
GM12878_B_Lymphocyte_Blood | H3K79me2 | ID:45208
T_Lymphocyte_Blood | H3K4me1 | ID:44039
Monocyte_Blood | H3K27ac | ID:66419
T_Lymphocyte | ATAC-seq | ID:66035
T_Lymphocyte_Blood | H3K4me1 | ID:36466
Monocyte_Blood | ATAC-seq | ID:80543
OCI-Ly10_B_Lymphocyte_Bone_Marrow | SPIB | ID:48630
T_Lymphocyte_Blood | H3K4me3 | ID:33898
GM12878_B_Lymphocyte_Blood | REST | ID:48293
THP-1_Monocyte | H3K27ac | ID:66839
T_Lymphocyte | H3K4me3 | ID:68990
Raji_B_Lymphocyte_Blood | POLR2A | ID:47813
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:5197
T_Lymphocyte | H3K4me2 | ID:69015
GM12878_B_Lymphocyte_Blood | H3K9me3 | ID:45212
SEM_B_Lymphocyte | KDM2B | ID:73700
MM1.S_B_Lymphocyte_Blood | MED1 | ID:39017
Monocyte_Blood | ATAC-seq | ID:79775
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74135
Thymus | H3K27ac | ID:36929
CD8_Naive_Primary_Cells | H3K27ac | Roadmap
T_Lymphocyte_Blood | H3K4me3 | ID:36468
H929_B_Lymphocyte_Bone_Marrow | IRF4 | ID:48632
KOPT-K1_T_Lymphocyte_Blood | H3K36me3 | ID:43745
KARPAS-422_B_Lymphocyte | H3K27me3 | ID:52566
T_Lymphocyte_Blood | H3K4me2 | ID:47938
GM12878_B_Lymphocyte_Blood | H3K4me3 | ID:42291
Monocyte | H3K4me3 | ID:35496
T_Lymphocyte | ATAC-seq | ID:66037
GM12878_B_Lymphocyte_Blood | EP300 | ID:48309
BCBL1_B_cell_lymphoma | H3K4me3 | ID:47723
T_Lymphocyte_Blood | H3K27ac | ID:58698
T_Lymphocyte | H3K4me3 | ID:8243
Monocyte_Blood | H3K27me3 | ID:48115
Fetal_Thymus | H3K27me3 | ID:42128
T_Lymphocyte | H3K4me2 | ID:69003
Toledo_B_Lymphocyte_Blood | H3 | ID:57566
Gen2.2_Plasmacytoid_dendritic_cell | POLR2A | ID:72346
T_Lymphocyte_Blood | H3K27ac | ID:44113
CD8_Naive_Primary_Cells | H3K9me3 | Roadmap
Neural_crest_cell_Cranial | H3K27ac | ID:56798
T_Lymphocyte_Synovial_Fluid | H3K27ac | ID:56925
T_Lymphocyte_Blood | ATAC-seq | ID:79576
GM12878_B_Lymphocyte_Blood | FAIRE | ID:33595
aTconv_T_Lymphocyte_Blood | H3K4me1 | ID:268
Dendritic_Cell | H3K4me3 | ID:53589
B_Lymphocyte_Blood | DNase | ID:44907
B_Lymphocyte | DNase | ID:40978
SEM_B_Lymphocyte | AFF1 | ID:73712
Fetal_Thymus | DNase.fdr0.01.hot | Roadmap
T_Lymphocyte_Blood | H3K4me2 | ID:47975
Neutrophile | ATAC-seq | ID:66143
THP-1 | GLI2 | ID:76995
T_Lymphocyte | ATAC-seq | ID:65943
GM12878_B_Lymphocyte_Blood | ZMYM3 | ID:74652
Monocyte_Blood | ATAC-seq | ID:79980
B_Lymphocyte_Cord_blood | H3K4me3 | ID:3913
B_Lymphocyte | H3K27ac | ID:55558
Toledo_B_Lymphocyte_Blood | H3K27ac | ID:57588
B_cell_precursor | ATAC-seq | ID:65730
GM12865_B_Lymphocyte_Blood | DNase | ID:44919
Jurkat_T_Lymphocyte_Blood | REST | ID:47868
Jurkat_T_Lymphocyte_Blood | REST | ID:47873
T_Lymphocyte_Blood | H3K4me2 | ID:47989
Ramos_B_Lymphocyte | H3K4me3 | ID:50520
T_Lymphocyte | ATAC-seq | ID:65936
Jurkat_T_Lymphocyte_Blood | H3K4me3 | ID:88342
GM12878_B_Lymphocyte_Blood | REST | ID:48297
T_Lymphocyte_Blood | STAT5 | ID:44085
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:42277
CCRF-CEM_T_Lymphocyte_Blood | TAL1 | ID:35476
B_Lymphocyte | NCOR2 | ID:35093
T_Lymphocyte | H3K4me1 | ID:8150
T_Lymphocyte_Blood | H3K4me2 | ID:47951
T_Lymphocyte | ATAC-seq | ID:66014
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | FOXP1 | ID:54152
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:42169
T_Lymphocyte | ATAC-seq | ID:59753
Nalm6_B_cell_precursor_Blood | NR3C1 | ID:52960
CUTLL1_T_Lymphocyte_Blood | H3K27me3 | ID:48572
GM12878_B_Lymphocyte_Blood | PBX3 | ID:46121
T_Lymphocyte_Blood | H3K4me2 | ID:47945
T_Lymphocyte_Blood | H3K4me2 | ID:47968
T_Lymphocyte_Blood | H3K9ac | ID:3965
GM12878_B_Lymphocyte_Blood | H3K27ac | ID:42278
T_Lymphocyte | H3K4me2 | ID:69001
LCL_B_Lymphocyte | SMC1A | ID:84580
MM1.S_B_Lymphocyte_Blood | MED1 | ID:33124
Pfeiffer_B_Lymphocyte_Lymph_Node | H3K27ac | ID:57592
T_Lymphocyte | ATAC-seq | ID:59698
GM12878_B_Lymphocyte_Blood | REST | ID:48308
T_Lymphocyte | ATAC-seq | ID:65944
OCI-Ly7_B_cell_lymphoma_Blood | DNase | ID:62446
Jurkat_T_Lymphocyte_Blood | CDK7 | ID:69615
T_Lymphocyte_Blood | H3K27ac | ID:49189
GM12878_B_Lymphocyte_Blood | TP53 | ID:41500
LCL_B_Lymphocyte | SMC1A | ID:84581
Neural_crest_cell_Cranial | H3K4me3 | ID:56812
T_Lymphocyte_Blood | STAT5B | ID:53633
GM12878_B_Lymphocyte_Blood | H3K4me1 | ID:36598
GM12878_B_Lymphocyte_Blood | TSC22D4 | ID:74679
T_Lymphocyte_Tonsil | H3K27ac | ID:52310
T_Lymphocyte_Blood | ATAC-seq | ID:80685
T_Lymphocyte_Blood | H3K4me2 | ID:47960
Jurkat_T_Lymphocyte_Blood | REST | ID:47872
GM12878_B_Lymphocyte_Blood | REST | ID:47857
GM12878_B_Lymphocyte_Blood | RAD21 | ID:46150
Nalm6_B_cell_precursor_Blood | NR3C1 | ID:52959
MutuI_B_Lymphocyte | H3K27ac | ID:82658
Patient_derived_xenograft_cells | H3K27ac | ID:61909
Gen2.2_Plasmacytoid_dendritic_cell | ATAC-seq | ID:65309
T_Lymphocyte_Synovial_Fluid | H3K27ac | ID:56931
Jurkat_E6-1_T_Lymphocyte_Blood | RUNX1 | ID:1955
KARPAS-422_B_cell_lymphoma | H3K27me3 | ID:71975
GM12878_B_Lymphocyte_Blood | NBN | ID:63182
GM12878_B_Lymphocyte_Blood | REST | ID:47852
BCBL1_B_cell_lymphoma | H3K4me3 | ID:47724
Monocyte | ATAC-seq | ID:66111
Monocyte_Blood | H3K27ac | ID:41297
Monocyte_Blood | H3K4me1 | ID:72303
Monocyte_Blood | H3K4me3 | ID:85245
Monocyte_Blood | DNase | ID:40646
T_Lymphocyte | H3K4me2 | ID:68995
B_Lymphocyte_Spleen | DNase | ID:3138
Raji_B_Lymphocyte_Blood | H3K4me3 | ID:85722
Activated_Treg | H3K27ac | ID:57154
Monocyte_Blood | H3K27me3 | ID:72258
B_Lymphocyte_Tonsil | H3K4me1 | ID:56476
Jurkat_T_Lymphocyte_Blood | H3K4me3 | ID:49509
Monocyte_Blood | ATAC-seq | ID:80544
OCI-Ly7_B_cell_lymphoma_Blood | H3K79me2 | ID:63352
T_Lymphocyte_Blood | H3K27ac | ID:58649
CD4+_CD25_Th_Primary_Cells | H3K9me3 | Roadmap
T_Lymphocyte | H3K4me1 | ID:8366
Jurkat_T_Lymphocyte_Blood | REST | ID:47860
Jurkat_T_Lymphocyte_Blood | REST | ID:47869
T_Lymphocyte | H3K4me2 | ID:69052
Monocyte_Blood | H3K27me3 | ID:72310
T_Lymphocyte_Blood | STAT5B | ID:53636
U-2932_B_Lymphocyte | PRDM11 | ID:52170
SEM_B_Lymphocyte | KDM2B | ID:73701
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:56011
GM12878_B_Lymphocyte_Blood | SPI1 | ID:48316
B_Lymphocyte | BACH2 | ID:55549
B_Lymphocyte_Tonsil | H3ac | ID:51706
OCI-Ly3_B_Lymphocyte_Bone_Marrow | SPIB | ID:48625
Jurkat_T_Lymphocyte_Blood | H3K4me3 | ID:49504
T_Lymphocyte_Blood | H3K27ac | ID:58655
Monocyte_Blood | H3K27me3 | ID:74861
SEM_B_Lymphocyte | BRD4 | ID:73719
T_Lymphocyte_Blood | H3K4me2 | ID:48001
B_Lymphocyte_Bone_Marrow | H3K27ac | ID:43130
Ramos_B_Lymphocyte | H3K4me3 | ID:50518
T_Lymphocyte | ATAC-seq | ID:59747
T_Lymphocyte_Blood | H3K4me2 | ID:47965
A3.01_T_Lymphocyte_Blood | H3K9ac | ID:48985
TIVE-LTC_T_Lymphocyte_Blood | POLR2A | ID:47733
Raji_B_Lymphocyte_Blood | PAX5 | ID:34473
T_Lymphocyte_Blood | ATAC-seq | ID:79575
CD4_Naive_Primary_Cells | H3K36me3 | Roadmap
T_Lymphocyte_Cord_blood | H3K4me3 | ID:3910
B_Lymphocyte | EP300 | ID:55572
Treg_cell | ATAC-seq | ID:80749
T_Lymphocyte_Blood | H3K36me3 | ID:8221
B_Lymphocyte_Lymph_Node | H3K27ac | ID:51660
T_Lymphocyte | ATAC-seq | ID:65980
T_Lymphocyte_Blood | H3K27ac | ID:58682
Fetal_Thymus | DNase.fdr0.01.peaks | Roadmap
T_Lymphocyte_Blood | H3K27ac | ID:58664
CD4+_CD25_IL17+_PMA-Ionomcyin_stimulated_Th17_Primary_Cells | H3K36me3 | Roadmap
B_Lymphocyte | H3K27ac | ID:55562
B_Lymphocyte_Cord_blood | H3K9me3 | ID:4079
GM12878_B_Lymphocyte_Blood | HDGF | ID:62849
RS4_B_Lymphocyte | H3K79me2 | ID:34965
Trophoblast_cell | DNase | ID:62773
T_Lymphocyte | ATAC-seq | ID:65945
T_Lymphocyte_Blood | H3K27ac | ID:56918
T_Lymphocyte_Blood | H3K27ac | ID:44082
TIVE-LTC_T_Lymphocyte_Blood | LANA | ID:47739
OCI-Ly1_B_cell_lymphoma_Bone_Marrow | BCL6 | ID:88599
