Feature	Importance
CD4+_CD25_Th_Primary_Cells | H3K36me3 | Roadmap	0.001697
iPS-15b_Cell_Line | H3K36me3 | Roadmap	0.001671
CD4_Naive_Primary_Cells | H3K27ac | Roadmap	0.001582
T_Lymphocyte_Blood | H4K16ac | ID:4100	0.001574
CD8_Memory_Primary_Cells | H3K27ac | Roadmap	0.001494
Blast_Cells_Blood | H3K9me2 | ID:75063	0.001481
T_Lymphocyte_Blood | H3K4me1 | ID:44117	0.001461
Monocytes-CD14+_RO01746 | H3K9me3 | Roadmap	0.001449
T_Lymphocyte_Blood | H3K4me1 | ID:44106	0.001440
T_Lymphocyte_Blood | H3K4me1 | ID:38152	0.001421
CD4+_CD25int_CD127+_Tmem_Primary_Cells | H3K36me3 | Roadmap	0.001417
GM12878_B_Lymphocyte_Blood | POLR2A | ID:46137	0.001376
T_Lymphocyte_Blood | H3K4me1 | ID:42133	0.001364
Jurkat_T_Lymphocyte_Blood | POLR2A | ID:69294	0.001354
Jurkat_T_Lymphocyte_Blood | H3K27me3 | ID:74123	0.001337
T_Lymphocyte_Blood | H3K36me3 | ID:8169	0.001328
T_Lymphocyte_Blood | H3K27ac | ID:36459	0.001327
T_Lymphocyte_Blood | H3K27ac | ID:8263	0.001318
Monocytes-CD14+_RO01746 | H3K4me1 | Roadmap	0.001312
CD8_Memory_Primary_Cells | H3K9me3 | Roadmap	0.001292
T_Lymphocyte_Blood | H3K36me3 | ID:8240	0.001284
Blast_Cells_Blood | H3K9me2 | ID:75076	0.001259
Monocyte_Blood | H3K4me3 | ID:89055	0.001253
GM12878_B_Lymphocyte_Blood | H3K79me2 | ID:45208	0.001244
T_Lymphocyte_Blood | H3K36me3 | ID:38138	0.001229
DND-41_T_Lymphocyte_Blood | H3K79me2 | ID:45194	0.001227
T_Lymphocyte | H3K4me1 | ID:8209	0.001222
SEM_B_Lymphocyte | AFF1 | ID:73712	0.001220
Akata_B_Lymphocyte | ZTA | ID:52241	0.001217
T_Lymphocyte_Blood | H3K27ac | ID:8136	0.001165
Monocyte_Blood | H3K4me3 | ID:72221	0.001155
Jurkat_T_Lymphocyte_Blood | H3K4me2 | ID:74134	0.001135
Fetal_Thymus | DNase | Roadmap	0.001134
Blast_Cells_Blood | H3K9me2 | ID:75061	0.001131
Monocytes-CD14+_RO01746 | DNase | Roadmap | 1	0.001129
T_Lymphocyte_Blood | DNase | ID:40526	0.001101
T_Lymphocyte_Blood | H3K27ac | ID:58701	0.001095
T_Lymphocyte_Blood | DNase | ID:40395	0.001094
Raji_B_Lymphocyte_Blood | POLR2A | ID:70957	0.001094
Raji_B_Lymphocyte_Blood | POLR2A | ID:70940	0.001079
Granulocyte_Blood | H3K9me2 | ID:75066	0.001078
